English,Indonesia
a,A
abandon,meninggalkan
ability,kemampuan
able,mampu
abortion,abortus
about,tentang
above,di atas
abroad,luar negeri
absence,ketiadaan
absolute,mutlak
absolutely,sangat
absorb,menyerap
abuse,melecehkan
academic,akademik
accept,menerima
access,mengakses
accident,kecelakaan
accompany,menemani
accomplish,menyelesaikan
according,menurut
account,akun
accurate,tepat
accuse,menuduh
achieve,meraih
achievement,pencapaian
acid,asam
acknowledge,mengakui
acquire,mendapatkan
across,lintas
act,bertindak
action,tindakan
active,aktif
activist,aktivis
activity,aktivitas
actor,aktor
actress,aktris
actual,sebenarnya
actually,Sebenarnya
ad,iklan
adapt,menyesuaikan
add,menambahkan
addition,tambahan
additional,tambahan
address,alamat
adequate,memadai
adjust,menyesuaikan
adjustment,pengaturan
administration,administrasi
administrator,administrator
admire,mengagumi
admission,penerimaan
admit,mengakui
adolescent,remaja
adopt,mengambil
adult,dewasa
advance,maju
advanced,canggih
advantage,keuntungan
adventure,petualangan
advertising,iklan
advice,nasihat
advise,menasihati
adviser,penasihat
advocate,menganjurkan
affair,perselingkuhan
affect,memengaruhi
afford,memberi
afraid,takut
African,Afrika
African-American,Amerika Afrika
after,setelah
afternoon,sore
again,lagi
against,melawan
age,usia
agency,agen
agenda,Jadwal acara
agent,agen
aggressive,agresif
ago,yang lalu
agree,setuju
agreement,perjanjian
agricultural,pertanian
ah,ah
ahead,di depan
aid,bantuan
aide,pembantu
AIDS,AIDS
aim,tujuan
air,udara
aircraft,pesawat terbang
airline,perusahaan penerbangan
airport,Bandara
album,album
alcohol,alkohol
alive,hidup
all,semua
alliance,persekutuan
allow,mengizinkan
ally,sekutu
almost,hampir
alone,sendiri
along,bersama
already,sudah
also,Juga
alter,mengubah
alternative,alternatif
although,meskipun
always,selalu
AM,SAYA
amazing,luar biasa
American,Amerika
among,di antara
amount,jumlah
analysis,analisis
analyst,analis
analyze,menganalisa
ancient,kuno
and,Dan
anger,amarah
angle,sudut
angry,marah
animal,satwa
anniversary,peringatan tahunan
announce,mengumumkan
annual,tahunan
another,lain
answer,menjawab
anticipate,mengantisipasi
anxiety,kecemasan
any,setiap
anybody,siapa saja
anymore,lagi
anyone,siapa pun
anything,apa pun
anyway,Bagaimanapun
anywhere,di mana saja
apart,terpisah
apartment,Apartemen
apparent,tampak
apparently,tampaknya
appeal,menarik
appear,muncul
appearance,penampilan
apple,apel
application,aplikasi
apply,menerapkan
appoint,menunjuk
appointment,janji temu
appreciate,menghargai
approach,mendekati
appropriate,sesuai
approval,persetujuan
approve,menyetujui
approximately,sekitar
Arab,Arab
architect,arsitek
area,daerah
argue,membantah
argument,argumen
arise,timbul
arm,lengan
armed,bersenjata
army,tentara
around,sekitar
arrange,mengatur
arrangement,pengaturan
arrest,menangkap
arrival,kedatangan
arrive,tiba
art,seni
article,artikel
artist,artis
artistic,artistik
as,sebagai
Asian,Asia
aside,ke samping
ask,bertanya
asleep,tertidur
aspect,aspek
assault,menyerang
assert,menegaskan
assess,menilai
assessment,penilaian
asset,aset
assign,menetapkan
assignment,penugasan
assist,membantu
assistance,pendampingan
assistant,asisten
associate,rekan
association,asosiasi
assume,menganggap
assumption,anggapan
assure,memastikan
at,pada
athlete,atlet
athletic,atletis
atmosphere,suasana
attach,menempel
attack,menyerang
attempt,percobaan
attend,menghadiri
attention,Perhatian
attitude,sikap
attorney,pengacara
attract,menarik
attractive,menarik
attribute,atribut
audience,hadirin
author,pengarang
authority,otoritas
auto,mobil
available,tersedia
average,rata-rata
avoid,menghindari
award,menghadiahkan
aware,menyadari
awareness,kesadaran
away,jauh
awful,buruk sekali
baby,Sayang
back,kembali
background,latar belakang
bad,buruk
badly,dengan buruk
bag,tas
bake,memanggang
balance,keseimbangan
ball,bola
ban,melarang
band,pita
bank,bank
bar,batang
barely,hampir tidak
barrel,barel
barrier,penghalang
base,basis
baseball,baseball
basic,dasar
basically,pada dasarnya
basis,dasar
basket,keranjang
basketball,bola basket
bathroom,kamar mandi
battery,baterai
battle,pertarungan
be,menjadi
beach,pantai
bean,kacang
bear,beruang
beat,mengalahkan
beautiful,cantik
beauty,kecantikan
because,Karena
become,menjadi
bed,tempat tidur
bedroom,kamar tidur
beer,Bir
before,sebelum
begin,mulai
beginning,awal
behavior,perilaku
behind,di belakang
being,makhluk
belief,kepercayaan
believe,meyakini
bell,lonceng
belong,milik
below,di bawah
belt,sabuk
bench,bangku
bend,membengkokkan
beneath,di bawah
benefit,keuntungan
beside,di samping
besides,di samping itu
best,terbaik
bet,bertaruh
better,lebih baik
between,di antara
beyond,di luar
Bible,Alkitab
big,besar
bike,sepeda
bill,tagihan
billion,miliar
bind,mengikat
biological,biologis
bird,burung
birth,kelahiran
birthday,hari ulang tahun
bit,sedikit
bite,menggigit
black,hitam
blade,Pedang
blame,menyalahkan
blanket,selimut
blind,buta
block,memblokir
blood,darah
blow,meniup
blue,biru
board,papan
boat,kapal
body,tubuh
bomb,bom
bombing,pengeboman
bond,menjalin kedekatan
bone,tulang
book,buku
boom,ledakan
boot,boot
border,berbatasan
born,dilahirkan
borrow,meminjam
boss,bos
both,keduanya
bother,mengganggu
bottle,botol
bottom,dasar
boundary,batas
bowl,mangkuk
box,kotak
boy,anak laki-laki
boyfriend,pacar
brain,otak
branch,cabang
brand,merek
bread,roti
break,merusak
breakfast,sarapan
breast,dada
breath,napas
breathe,bernapas
brick,bata
bridge,menjembatani
brief,singkat
briefly,secara singkat
bright,terang
brilliant,cemerlang
bring,membawa
British,Inggris
broad,luas
broken,rusak
brother,saudara laki-laki
brown,cokelat
brush,sikat
buck,Buck
budget,anggaran
build,membangun
building,bangunan
bullet,peluru
bunch,kelompok
burden,beban
burn,membakar
bury,mengubur
bus,bis
business,bisnis
busy,sibuk
but,Tetapi
butter,mentega
button,tombol
buy,membeli
buyer,pembeli
by,oleh
cabin,kabin
cabinet,kabinet
cable,kabel
cake,kue
calculate,menghitung
call,panggilan
camera,kamera
camp,kamp
campaign,kampanye
campus,kampus
can,Bisa
Canadian,Kanada
cancer,kanker
candidate,calon
cap,topi
capability,kemampuan
capable,mampu
capacity,kapasitas
capital,modal
captain,Kapten
capture,menangkap
car,mobil
carbon,karbon
card,kartu
care,peduli
career,karier
careful,hati-hati
carefully,dengan hati-hati
carrier,pembawa
carry,membawa
case,kasus
cash,uang tunai
cast,pemeran
cat,kucing
catch,menangkap
category,kategori
Catholic,Katolik
cause,menyebabkan
ceiling,langit-langit
celebrate,merayakan
celebration,perayaan
celebrity,Selebriti
cell,sel
center,tengah
central,pusat
century,abad
CEO,CEO
ceremony,upacara
certain,yakin
certainly,tentu
chain,rantai
chair,kursi
chairman,ketua
challenge,tantangan
chamber,ruangan
champion,juara
championship,kejuaraan
chance,peluang
change,mengubah
changing,Mengubah
channel,saluran
chapter,bab
character,karakter
characteristic,ciri
characterize,mencirikan
charge,mengenakan biaya
charity,amal
chart,bagan
chase,mengejar
cheap,murah
check,memeriksa
cheek,pipi
cheese,keju
chef,koki
chemical,bahan kimia
chest,dada
chicken,ayam
chief,ketua
child,anak
childhood,masa kecil
Chinese,Cina
chip,chip
chocolate,cokelat
choice,pilihan
cholesterol,kolesterol
choose,memilih
Christian,Kristen
Christmas,Natal
church,gereja
cigarette,rokok
circle,lingkaran
circumstance,keadaan
cite,mengutip
citizen,warga negara
city,kota
civil,sipil
civilian,sipil
claim,mengeklaim
class,kelas
classic,klasik
classroom,kelas
clean,membersihkan
clear,jernih
clearly,jelas
client,klien
climate,iklim
climb,mendaki
clinic,klinik
clinical,klinis
clock,jam
close,menutup
closely,rapat
closer,lebih dekat
clothes,pakaian
clothing,pakaian
cloud,awan
club,klub
clue,petunjuk
cluster,gugus
coach,pelatih
coal,batu bara
coalition,koalisi
coast,pesisir
coat,mantel
code,kode
coffee,kopi
cognitive,kognitif
cold,dingin
collapse,runtuh
colleague,kolega
collect,mengumpulkan
collection,koleksi
collective,kolektif
college,kampus
colonial,kolonial
color,warna
column,kolom
combination,kombinasi
combine,menggabungkan
come,datang
comedy,komedi
comfort,kenyamanan
comfortable,nyaman
command,memerintah
commander,komandan
comment,komentar
commercial,komersial
commission,Komisi
commit,melakukan
commitment,komitmen
committee,komite
common,umum
communicate,menyampaikan
communication,komunikasi
community,masyarakat
company,perusahaan
compare,membandingkan
comparison,perbandingan
compete,bersaing
competition,kompetisi
competitive,kompetitif
competitor,saingan
complain,mengeluh
complaint,keluhan
complete,menyelesaikan
completely,sama sekali
complex,kompleks
complicated,rumit
component,komponen
compose,menyusun
composition,komposisi
comprehensive,luas
computer,komputer
concentrate,konsentrat
concentration,konsentrasi
concept,konsep
concern,kekhawatiran
concerned,khawatir
concert,konser
conclude,menyimpulkan
conclusion,kesimpulan
concrete,konkret
condition,kondisi
conduct,mengadakan
conference,konferensi
confidence,kepercayaan diri
confident,percaya diri
confirm,mengonfirmasi
conflict,konflik
confront,mengonfrontasi
confusion,kebingungan
Congress,Kongres
congressional,Kongres
connect,Menghubung
connection,koneksi
consciousness,kesadaran
consensus,konsensus
consequence,konsekuensi
conservative,konservatif
consider,mempertimbangkan
considerable,besar
consideration,pertimbangan
consist,terdiri atas
consistent,konsisten
constant,konstan
constantly,selalu
constitute,merupakan
constitutional,konstitusional
construct,membangun
construction,konstruksi
consultant,konsultan
consume,mengkonsumsi
consumer,konsumen
consumption,konsumsi
contact,kontak
contain,berisi
container,wadah
contemporary,kontemporer
content,isi
contest,kontes
context,konteks
continue,melanjutkan
continued,lanjutan
contract,kontrak
contrast,kontras
contribute,menyumbang
contribution,kontribusi
control,kontrol
controversial,kontroversial
controversy,kontroversi
convention,Konvensi
conventional,konvensional
conversation,percakapan
convert,mengubah
conviction,pengakuan
convince,meyakinkan
cook,memasak
cookie,Kue kering
cooking,memasak
cool,Dingin
cooperation,kerja sama
cop,polisi
cope,mengatasi
copy,menyalin
core,inti
corn,Jagung
corner,sudut
corporate,perusahaan 
corporation,perusahaan
correct,benar
correspondent,koresponden
cost,biaya
cotton,kapas
couch,sofa
could,bisa
council,Dewan
counselor,konselor
count,menghitung
counter,menangkal
country,negara
county,daerah
couple,pasangan
courage,keberanian
course,kursus
court,pengadilan
cousin,sepupu
cover,menutupi
coverage,Cakupan
cow,sapi
crack,retakan
craft,keahlian
crash,menabrak
crazy,gila
cream,krim
create,membuat
creation,penciptaan
creative,kreatif
creature,makhluk
credit,kredit
crew,awak kapal
crime,kejahatan
criminal,pidana
crisis,krisis
criteria,kriteria
critic,pengkritik
critical,kritis
criticism,kritik
criticize,mengkritik
crop,tanaman
cross,menyeberang
crowd,kerumunan
crucial,penting
cry,menangis
cultural,kultural
culture,budaya
cup,cangkir
curious,penasaran
current,saat ini
currently,saat ini
curriculum,kurikulum
custom,kebiasaan
customer,pelanggan
cut,memotong
cycle,siklus
dad,ayah
daily,sehari-hari
damage,kerusakan
dance,menari
danger,bahaya
dangerous,berbahaya
dare,Berani
dark,gelap
darkness,kegelapan
data,data
date,tanggal
daughter,anak perempuan
day,hari
dead,mati
deal,kesepakatan
dealer,pedagang
dear,Sayang
death,kematian
debate,perdebatan
debt,utang
decade,dasawarsa
decide,memutuskan
decision,keputusan
deck,Kartu
declare,menyatakan
decline,menolak
decrease,mengurangi
deep,dalam
deeply,dalam
deer,rusa
defeat,mengalahkan
defend,membela
defendant,terdakwa
defense,pertahanan
defensive,defensif
deficit,defisit
define,mendefinisikan
definitely,tentu saja
definition,definisi
degree,derajat
delay,menunda
deliver,mengantarkan
delivery,pengiriman
demand,tuntutan
democracy,demokrasi
Democrat,Demokrat
democratic,demokratis
demonstrate,mendemonstrasikan
demonstration,demonstrasi
deny,membantah
department,departemen
depend,bergantung
dependent,bergantung
depending,tergantung
depict,menggambarkan
depression,depresi
depth,kedalaman
deputy,wakil
derive,memperoleh
describe,menggambarkan
description,keterangan
desert,gurun
deserve,layak
design,desain
designer,perancang
desire,menginginkan
desk,meja
desperate,putus asa
despite,meskipun
destroy,menghancurkan
destruction,penghancuran
detail,Detail
detailed,terperinci
detect,Deteksi
determine,menentukan
develop,mengembangkan
developing,mengembangkan
development,perkembangan
device,perangkat
devote,mendedikasikan
dialogue,dialog
die,mati
diet,diet
differ,berbeda
difference,perbedaan
different,berbeda
differently,berbeda
difficult,sulit
difficulty,kesulitan
dig,menggali
digital,digital
dimension,dimensi
dining,makan
dinner,makan malam
direct,langsung
direction,arah
directly,secara langsung
director,Direktur
dirt,kotoran
dirty,kotor
disability,disabilitas
disagree,tidak setuju
disappear,menghilang
disaster,bencana
discipline,disiplin
discourse,ceramah
discover,menemukan
discovery,penemuan
discrimination,diskriminasi
discuss,membahas
discussion,diskusi
disease,penyakit
dish,piring
dismiss,membubarkan
disorder,kekacauan
display,menampilkan
dispute,sengketa
distance,jarak
distant,jauh
distinct,berbeda
distinction,perbedaan
distinguish,membedakan
distribute,mendistribusikan
distribution,distribusi
district,daerah
diverse,beragam
diversity,keberagaman
divide,membagi
division,divisi
divorce,perceraian
DNA,DNA
do,Mengerjakan
doctor,dokter
document,dokumen
dog,anjing
domestic,lokal
dominant,dominan
dominate,mendominasi
door,pintu
double,dobel
doubt,ragu
down,turun
downtown,pusat kota
dozen,lusin
draft,draf
drag,menyeret
drama,drama
dramatic,dramatis
dramatically,secara dramatis
draw,menggambar
drawing,menggambar
dream,mimpi
dress,gaun
drink,minum
drive,menyetir
driver,pengemudi
drop,menjatuhkan
drug,obat
dry,kering
due,jatuh tempo
during,selama
dust,debu
duty,tugas
each,setiap
eager,ingin sekali
ear,telinga
early,lebih awal
earn,menghasilkan
earnings,pendapatan
earth,bumi
ease,kemudahan
easily,dengan mudah
east,timur
eastern,Timur
easy,mudah
eat,makan
economic,ekonomis
economics,ekonomi
economist,ekonom
economy,ekonomi
edge,tepian
edition,edisi
editor,editor
educate,mendidik
education,pendidikan
educational,pendidikan
educator,pendidik
effect,memengaruhi
effective,efektif
effectively,secara efektif
efficiency,efisiensi
efficient,efisien
effort,upaya
egg,telur
eight,delapan
either,salah satu
elderly,tua
elect,memilih
election,pemilihan
electric,listrik
electricity,listrik
electronic,elektronik
element,elemen
elementary,dasar
eliminate,menghapuskan
elite,elite
else,kalau tidak
elsewhere,di tempat lain
e-mail,surel
embrace,merangkul
emerge,muncul
emergency,keadaan darurat
emission,emisi
emotion,emosi
emotional,emosional
emphasis,tekanan
emphasize,menekankan
employ,mempekerjakan
employee,karyawan
employer,pemberi pekerjaan
employment,pekerjaan
empty,kosong
enable,memungkinkan
encounter,bertemu
encourage,mendorong
end,akhir
enemy,musuh
energy,energi
enforcement,pelaksanaan
engage,melibatkan
engine,mesin
engineer,insinyur
engineering,rekayasa
English,Bahasa inggris
enhance,meningkatkan
enjoy,menikmati
enormous,sangat besar
enough,cukup
ensure,memastikan
enter,memasuki
enterprise,perusahaan
entertainment,hiburan
entire,seluruh
entirely,sepenuhnya
entrance,pintu masuk
entry,pintu masuk
environment,lingkungan
environmental,lingkungan
episode,episode
equal,setara
equally,sama
equipment,peralatan
era,zaman
error,kesalahan
escape,melarikan diri
especially,khususnya
essay,karangan
essential,penting
essentially,pada dasarnya
establish,mendirikan
establishment,pembentukan
estate,perkebunan
estimate,memperkirakan
etc,dll.
ethics,etika
ethnic,etnis
European,Eropa
evaluate,evaluasi
evaluation,evaluasi
even,bahkan
evening,malam
event,peristiwa
eventually,pada akhirnya
ever,pernah
every,setiap
everybody,semua orang
everyday,setiap hari
everyone,setiap orang
everything,semuanya
everywhere,di mana pun
evidence,bukti
evolution,evolusi
evolve,berkembang
exact,akurat
exactly,tepat
examination,penyelidikan
examine,meneliti
example,contoh
exceed,melampaui
excellent,bagus sekali
except,kecuali
exception,pengecualian
exchange,menukarkan
exciting,seru
executive,eksekutif
exercise,latihan
exhibit,pameran
exhibition,pameran
exist,ada
existence,adanya
existing,yang ada
expand,memperluas
expansion,ekspansi
expect,mengharapkan
expectation,ekspektasi
expense,pengeluaran
expensive,mahal
experience,pengalaman
experiment,percobaan
expert,pakar
explain,menjelaskan
explanation,penjelasan
explode,meledak
explore,mengeksplorasi
explosion,ledakan
expose,membuka
exposure,paparan
express,cepat
expression,ekspresi
extend,memperpanjang
extension,perpanjangan
extensive,luas
extent,cakupan
external,luar
extra,tambahan
extraordinary,luar biasa
extreme,ekstrim
extremely,sangat
eye,mata
fabric,kain
face,menghadapi
facility,fasilitas
fact,fakta
factor,faktor
factory,pabrik
faculty,fakultas
fade,memudar
fail,gagal
failure,kegagalan
fair,adil
fairly,secara adil
faith,keyakinan
fall,jatuh
FALSE,PALSU
familiar,akrab
family,keluarga
famous,terkenal
fan,penggemar
fantasy,fantasi
far,jauh
farm,peternakan
farmer,petani
fashion,mode
fast,cepat
fat,gemuk
fate,takdir
father,ayah
fault,kesalahan
favor,kebaikan
favorite,favorit
fear,takut
feature,fitur
federal,federal
fee,biaya
feed,memberi makan
feel,merasa
feeling,merasa
fellow,rekan
female,perempuan
fence,pagar
few,sedikit
fewer,lebih sedikit
fiber,serat
fiction,fiksi
field,bidang
fifteen,limabelas
fifth,kelima
fifty,lima puluh
fight,bertarung
fighter,pejuang
fighting,berkelahi
figure,angka
file,mengajukan
fill,mengisi
film,film
final,terakhir
finally,Akhirnya
finance,keuangan
financial,keuangan
find,menemukan
finding,temuan
fine,Bagus
finger,jari
finish,menyelesaikan
fire,api
firm,tegas
first,Pertama
fish,ikan
fishing,penangkapan ikan
fit,bugar
fitness,kebugaran
five,lima
fix,memperbaiki
flag,bendera
flame,api
flat,datar
flavor,rasa
flee,kabur
flesh,daging
flight,penerbangan
float,mengambang
floor,lantai
flow,mengalir
flower,bunga
fly,terbang
focus,fokus
folk,rakyat
follow,mengikuti
following,mengikuti
food,makanan
foot,kaki
football,sepak bola
for,untuk
force,memaksa
foreign,luar negeri
forest,hutan
forever,selamanya
forget,lupa
form,membentuk
formal,resmi
formation,pembentukan
former,mantan
formula,rumus
forth,ke depan
fortune,harta benda
forward,maju
found,ditemukan
foundation,dasar
founder,pendiri
four,empat
fourth,keempat
frame,bingkai
framework,kerangka
free,bebas
freedom,kebebasan
freeze,membekukan
French,Perancis
frequency,frekuensi
frequent,sering
frequently,sering
fresh,segar
friend,teman
friendly,ramah
friendship,persahabatan
from,dari
front,depan
fruit,buah
frustration,frustrasi
fuel,bahan bakar
full,penuh
fully,sepenuhnya
fun,seru
function,fungsi
fund,dana
fundamental,mendasar
funding,pendanaan
funeral,pemakaman
funny,lucu
furniture,mebel
furthermore,lebih-lebih lagi
future,masa depan
gain,memperoleh
galaxy,galaksi
gallery,galeri
game,permainan
gang,gang
gap,celah
garage,garasi
garden,kebun
garlic,bawang putih
gas,gas
gate,gerbang
gather,mengumpulkan
gay,gay
gaze,tatapan
gear,gigi
gender,jenis kelamin
gene,gen
general,umum
generally,umumnya
generate,menghasilkan
generation,generasi
genetic,genetik
gentleman,pria
gently,dengan lembut
German,Jerman
gesture,sikap
get,mendapatkan
ghost,hantu
giant,raksasa
gift,hadiah
gifted,berbakat
girl,gadis
girlfriend,pacar perempuan
give,memberi
given,diberikan
glad,senang
glance,lirikan
glass,kaca
global,global
glove,sarung tangan
go,pergi
goal,sasaran
God,Tuhan
gold,emas
golden,keemasan
golf,golf
good,Bagus
government,pemerintah
governor,gubernur
grab,merebut
grade,nilai
gradually,perlahan-lahan
graduate,lulus
grain,bulir
grand,agung
grandfather,kakek
grandmother,nenek
grant,menganugerahkan
grass,rumput
grave,kuburan
gray,abu-abu
great,Besar
greatest,Terbaik
green,hijau
grocery,kebutuhan sehari-hari
ground,tanah
group,kelompok
grow,tumbuh
growing,pertumbuhan
growth,pertumbuhan
guarantee,menjamin
guard,penjaga
guess,tebakan
guest,tamu
guide,memandu
guideline,Pedoman
guilty,bersalah
gun,senjata
guy,pria
habit,kebiasaan
habitat,habitat
hair,rambut
half,setengah
hall,aula
hand,tangan
handful,segenggam
handle,menangani
hang,menggantung
happen,terjadi
happy,senang
hard,keras
hardly,Hampir tidak
hat,topi
hate,membenci
have,memiliki
he,Dia
head,kepala
headline,tajuk utama
headquarters,markas besar
health,kesehatan
healthy,sehat
hear,mendengar
hearing,pendengaran
heart,jantung
heat,panas
heaven,surga
heavily,sangat berat
heavy,berat
heel,tumit
height,tinggi
helicopter,helikopter
hell,neraka
hello,Halo
help,membantu
helpful,bermanfaat
her,dia
here,Di Sini
heritage,warisan
hero,pahlawan
herself,diri
hey,Hai
hi,Hai
hide,bersembunyi
high,tinggi
highlight,menyorot
highly,sangat
highway,jalan raya
hill,bukit
him,dia
himself,diri
hip,panggul
hire,mempekerjakan
his,miliknya
historian,sejarawan
historic,bersejarah
historical,historis
history,sejarah
hit,memukul
hold,memegang
hole,lubang
holiday,hari libur
holy,suci
home,rumah
homeless,tunawisma
honest,jujur
honey,Sayang
honor,menghormati
hope,harapan
horizon,cakrawala
horror,kengerian
horse,kuda
hospital,RSUD
host,tuan rumah
hot,panas
hotel,hotel
hour,jam
house,rumah
household,rumah tangga
housing,perumahan
how,Bagaimana
however,Namun
huge,sangat besar
human,manusia
humor,humor
hundred,ratus
hungry,lapar
hunter,pemburu
hunting,memburu
hurt,terluka
husband,suami
hypothesis,hipotesa
I,SAYA
ice,Es
idea,ide
ideal,ideal
identification,identifikasi
identify,mengenali
identity,identitas
ie,yaitu
if,jika
ignore,mengabaikan
ill,sakit
illegal,liar
illness,penyakit
illustrate,menjelaskan
image,gambar
imagination,imajinasi
imagine,membayangkan
immediate,segera
immediately,langsung
immigrant,imigran
immigration,imigrasi
impact,dampak
implement,melaksanakan
implication,implikasi
imply,menyiratkan
importance,pentingnya
important,penting
impose,memaksakan
impossible,mustahil
impress,membuat terkesan
impression,kesan
impressive,menakjubkan
improve,memperbaiki
improvement,peningkatan
in,di dalam
incentive,insentif
incident,kejadian
include,termasuk
including,termasuk
income,penghasilan
incorporate,menggabungkan
increase,meningkatkan
increased,ditingkatkan
increasing,meningkat
increasingly,makin
incredible,menakjubkan
indeed,Memang
independence,kemerdekaan
independent,mandiri
index,indeks
Indian,Indian
indicate,menunjukkan
indication,indikasi
individual,individu
industrial,industri
industry,industri
infant,bayi
infection,infeksi
inflation,inflasi
influence,pengaruh
inform,memberitahukan
information,informasi
ingredient,bahan
initial,awal
initially,mulanya
initiative,prakarsa
injury,cedera
inner,batin
innocent,tidak bersalah
inquiry,pertanyaan
inside,di dalam
insight,wawasan
insist,bersikeras
inspire,mengilhami
install,Install
instance,contoh
instead,alih-alih
institution,lembaga
institutional,kelembagaan
instruction,petunjuk
instructor,pengajar
instrument,instrumen
insurance,Pertanggungan
intellectual,intelektual
intelligence,intelijen
intend,bermaksud
intense,intens
intensity,intensitas
intention,maksud
interaction,interaksi
interest,minat
interested,tertarik
interesting,menarik
internal,intern
international,internasional
Internet,Internet
interpret,menafsirkan
interpretation,penafsiran
intervention,intervensi
interview,wawancara
into,ke dalam
introduce,memperkenalkan
introduction,perkenalan
invasion,invasi
invest,menginvestasikan
investigate,menyelidiki
investigation,penyelidikan
investigator,peneliti
investment,investasi
investor,investor
invite,mengundang
involve,melibatkan
involved,terlibat
involvement,keterlibatan
Iraqi,Irak
Irish,orang Irlandia
iron,besi
Islamic,Islam
island,pulau
Israeli,Israel
issue,masalah
it,dia
Italian,Italia
item,barang
its,-nya
itself,diri
jacket,jaket
jail,penjara
Japanese,Jepang
jet,jet
Jew,Yahudi
Jewish,Yahudi
job,pekerjaan
join,bergabung
joint,persendian
joke,candaan
journal,jurnal
journalist,wartawan
journey,perjalanan
joy,sukacita
judge,hakim
judgment,pertimbangan
juice,jus
jump,melompat
junior,muda
jury,juri
just,hanya
justice,keadilan
justify,membenarkan
keep,menyimpan
key,kunci
kick,menendang
kid,anak
kill,membunuh
killer,pembunuh
killing,pembunuhan
kind,baik
king,raja
kiss,ciuman
kitchen,dapur
knee,lutut
knife,pisau
